Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,14-01-1993,tot:,05-04-2018,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52D0201,001,52DP9012,193221,378361,3305,05-05-1992,05-05-1992,12-05-2016,3304,-1,3154,3054
B52D0201,001,52DP9012,193221,378361,3301,12-05-2016,12-05-2016,05-04-2018,3344,43,3204,3104


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52D0201,001,25-02-2014,105,106,3199,,,,,,
B52D0201,001,26-03-2014,127,128,3177,,,,,,
B52D0201,001,30-04-2014,160,161,3144,,,,,,
B52D0201,001,26-05-2014,168,169,3136,,,,,,
B52D0201,001,30-06-2014,203,204,3101,,,,,,
B52D0201,001,02-07-2014,,,,N,,,,,
B52D0201,001,29-07-2014,155,156,3149,,,,,,
B52D0201,001,10-08-2014,,,,N,,,,,
B52D0201,001,27-08-2014,155,156,3149,,,,,,
B52D0201,001,30-09-2014,190,191,3114,,,,,,
B52D0201,001,31-10-2014,147,148,3157,,,,,,
B52D0201,001,28-11-2014,133,134,3171,,,,,,
B52D0201,001,05-01-2015,,,,N,,,,,
B52D0201,001,30-01-2015,,,,N,,,,,
B52D0201,001,24-02-2015,,,,N,,,,,
B52D0201,001,25-03-2015,,,,N,,,,,
B52D0201,001,28-04-2015,,,,N,,,,,
B52D0201,001,27-05-2015,,,,N,,,,,
B52D0201,001,26-08-2015,,,,D,,,,,
B52D0201,001,02-11-2015,,,,D,,,,,
B52D0201,001,15-01-2016,88,89,3216,,,,,,
B52D0201,001,29-01-2016,96,97,3208,,,,,,
B52D0201,001,15-02-2016,72,73,3232,,,,,,
B52D0201,001,29-02-2016,83,84,3221,,,,,,
B52D0201,001,15-03-2016,95,96,3209,,,,,,
B52D0201,001,29-03-2016,104,105,3200,,,,,,
B52D0201,001,15-04-2016,110,111,3194,,,,,,
B52D0201,001,28-04-2016,111,112,3193,,,,,,
B52D0201,001,16-05-2016,192,149,3152,,,,,,
B52D0201,001,24-05-2016,198,155,3146,,,,,,
B52D0201,001,25-05-2016,199,156,3145,,,,,,
B52D0201,001,26-05-2016,204,161,3140,,,,,,
B52D0201,001,27-05-2016,207,164,3137,,,,,,
B52D0201,001,28-05-2016,200,157,3144,,,,,,
B52D0201,001,29-05-2016,202,159,3142,,,,,,
B52D0201,001,30-05-2016,202,159,3142,,,,,,
B52D0201,001,31-05-2016,159,116,3185,,,,,,
B52D0201,001,01-06-2016,162,119,3182,,,,,,
B52D0201,001,02-06-2016,88,45,3256,,,,,,
B52D0201,001,03-06-2016,101,58,3243,,,,,,
B52D0201,001,04-06-2016,115,72,3229,,,,,,
B52D0201,001,05-06-2016,122,79,3222,,,,,,
B52D0201,001,06-06-2016,135,92,3209,,,,,,
B52D0201,001,07-06-2016,143,100,3201,,,,,,
B52D0201,001,08-06-2016,128,85,3216,,,,,,
B52D0201,001,09-06-2016,140,97,3204,,,,,,
B52D0201,001,10-06-2016,150,107,3194,,,,,,
B52D0201,001,11-06-2016,156,113,3188,,,,,,
B52D0201,001,12-06-2016,159,116,3185,,,,,,
B52D0201,001,13-06-2016,135,92,3209,,,,,,
B52D0201,001,14-06-2016,117,74,3227,,,,,,
B52D0201,001,15-06-2016,128,85,3216,,,,,,
B52D0201,001,16-06-2016,121,78,3223,,,,,,
B52D0201,001,17-06-2016,128,85,3216,,,,,,
B52D0201,001,18-06-2016,128,85,3216,,,,,,
B52D0201,001,19-06-2016,134,91,3210,,,,,,
B52D0201,001,20-06-2016,141,98,3203,,,,,,
B52D0201,001,21-06-2016,121,78,3223,,,,,,
B52D0201,001,22-06-2016,127,84,3217,,,,,,
B52D0201,001,23-06-2016,138,95,3206,,,,,,
B52D0201,001,24-06-2016,77,34,3267,,,,,,
B52D0201,001,25-06-2016,93,50,3251,,,,,,
B52D0201,001,26-06-2016,99,56,3245,,,,,,
B52D0201,001,27-06-2016,110,67,3234,,,,,,
B52D0201,001,28-06-2016,116,73,3228,,,,,,
B52D0201,001,29-06-2016,123,80,3221,,,,,,
B52D0201,001,30-06-2016,129,86,3215,,,,,,
B52D0201,001,01-07-2016,132,89,3212,,,,,,
B52D0201,001,02-07-2016,125,82,3219,,,,,,
B52D0201,001,03-07-2016,126,83,3218,,,,,,
B52D0201,001,04-07-2016,137,94,3207,,,,,,
B52D0201,001,05-07-2016,142,99,3202,,,,,,
B52D0201,001,06-07-2016,150,107,3194,,,,,,
B52D0201,001,07-07-2016,157,114,3187,,,,,,
B52D0201,001,08-07-2016,160,117,3184,,,,,,
B52D0201,001,09-07-2016,166,123,3178,,,,,,
B52D0201,001,10-07-2016,167,124,3177,,,,,,
B52D0201,001,11-07-2016,175,132,3169,,,,,,
B52D0201,001,12-07-2016,178,135,3166,,,,,,
B52D0201,001,13-07-2016,182,139,3162,,,,,,
B52D0201,001,14-07-2016,186,143,3158,,,,,,
B52D0201,001,15-07-2016,190,147,3154,,,,,,
