Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,15-02-1999,tot:,19-12-2018,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52C2089,001,,188619,383753,3033,14-01-1999,14-01-1999,23-03-2016,3050,17,2939,2839
B52C2089,001,,188619,383753,3033,23-03-2016,23-03-2016,19-12-2018,3084,51,2990,2890


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52C2089,001,15-06-2007,135,118,2915,,,,,,
B52C2089,001,29-06-2007,137,120,2913,,,,,,
B52C2089,001,13-07-2007,132,115,2918,,,,,,
B52C2089,001,15-08-2007,125,108,2925,,,,,,
B52C2089,001,28-08-2007,126,109,2924,,,,,,
B52C2089,001,13-09-2007,133,116,2917,,,,,,
B52C2089,001,27-09-2007,143,126,2907,,,,,,
B52C2089,001,15-10-2007,144,127,2906,,,,,,
B52C2089,001,29-10-2007,147,130,2903,,,,,,
B52C2089,001,13-11-2007,134,117,2916,,,,,,
B52C2089,001,29-11-2007,135,118,2915,,,,,,
B52C2089,001,13-12-2007,121,104,2929,,,,,,
B52C2089,001,27-12-2007,130,113,2920,,,,,,
B52C2089,001,14-01-2008,125,108,2925,,,,,,
B52C2089,001,28-01-2008,119,102,2931,,,,,,
B52C2089,001,14-02-2008,116,99,2934,,,,,,
B52C2089,001,28-02-2008,123,106,2927,,,,,,
B52C2089,001,13-03-2008,124,107,2926,,,,,,
B52C2089,001,27-03-2008,116,99,2934,,,,,,
B52C2089,001,14-04-2008,119,102,2931,,,,,,
B52C2089,001,28-04-2008,125,108,2925,,,,,,
B52C2089,001,13-05-2008,132,115,2918,,,,,,
B52C2089,001,29-05-2008,129,112,2921,,,,,,
B52C2089,001,13-06-2008,126,109,2924,,,,,,
B52C2089,001,27-06-2008,134,117,2916,,,,,,
