,user,message
2018-06-24 13:47:40,user2,1
2018-06-24 13:47:45,user2,1
2018-06-24 13:47:50,user2,1
2018-06-24 13:55:49,user1,1
2018-06-24 13:59:21,user2,1
2018-06-25 14:38:09,user1,1
2018-06-25 14:39:19,user1,1
2018-06-25 17:03:45,user2,1
2018-06-26 10:55:05,user1,1
2018-06-26 10:55:20,user1,1
2018-06-26 11:02:20,user2,1
2018-06-26 11:34:57,user1,1
2018-06-26 12:29:24,user2,1
2018-06-26 12:29:33,user2,1
2018-06-26 12:35:24,user2,1
2018-06-26 12:51:52,user2,1
2018-06-26 12:52:06,user2,1
2018-06-26 14:13:34,user1,1
2018-06-26 14:13:36,user1,1
2018-06-26 14:38:12,user2,1
2018-06-26 16:17:00,user1,1
2018-06-26 16:17:32,user1,1
2018-06-26 19:59:04,user1,1
2018-06-26 20:43:26,user2,1
2018-06-26 20:54:06,user1,1
2018-06-26 20:56:22,user1,1
2018-06-26 21:33:43,user2,1
2018-06-26 21:34:03,user1,1
2018-06-26 21:34:21,user2,1
2018-06-26 21:36:58,user2,1
2018-06-26 21:37:19,user1,1
2018-06-26 21:43:28,user1,1
2018-06-26 21:49:11,user2,1
2018-06-28 16:41:57,user2,1
2018-06-28 16:43:29,user1,1
2018-06-28 16:51:06,user2,1
2018-06-28 16:51:27,user2,1
2018-06-28 16:52:15,user1,1
2018-06-28 16:52:25,user2,1
2018-06-28 16:52:37,user2,1
2018-06-28 16:52:39,user2,1
2018-06-28 16:53:44,user2,1
2018-06-28 16:53:48,user2,1
2018-06-28 16:53:42,user1,1
2018-06-28 16:54:38,user1,1
2018-06-28 16:54:44,user1,1
2018-06-28 16:55:10,user2,1
2018-06-28 16:55:46,user2,1
2018-06-28 16:56:47,user1,1
2018-06-28 16:57:06,user1,1
2018-06-28 16:57:12,user2,1
2018-06-28 16:57:40,user2,1
2018-06-28 16:58:12,user2,1
2018-06-28 17:00:13,user2,1
2018-06-28 17:00:22,user2,1
2018-06-28 17:00:53,user1,1
2018-06-28 17:01:06,user2,1
2018-06-28 17:01:14,user2,1
2018-06-28 17:03:06,user1,1
2018-06-28 17:05:49,user2,1
2018-06-28 17:14:15,user1,1
2018-06-28 17:18:39,user2,1
2018-06-28 23:06:16,user2,1
2018-06-28 23:13:22,user1,1
2018-06-28 23:14:38,user2,1
2018-06-28 23:14:54,user2,1
2018-06-28 23:17:57,user2,1
2018-06-29 10:56:06,user2,1
2018-06-29 11:13:25,user2,1
2018-06-29 18:11:41,user2,1
2018-06-29 18:11:53,user2,1
2018-06-29 18:11:58,user2,1
2018-06-29 18:39:57,user1,1
2018-06-29 18:55:42,user2,1
2018-06-29 18:56:01,user2,1
2018-06-29 20:24:40,user1,1
2018-06-29 20:35:59,user2,1
2018-06-29 20:57:58,user2,1
2018-06-29 21:13:10,user1,1
2018-06-30 01:26:12,user2,1
2018-06-30 02:02:52,user1,1
2018-06-30 14:43:03,user1,1
2018-06-30 17:54:42,user2,1
2018-06-30 17:55:27,user2,1
2018-06-30 17:55:39,user2,1
2018-06-30 19:28:55,user2,1
2018-07-01 01:01:43,user2,1
2018-07-01 01:05:22,user2,1
2018-07-01 01:06:27,user2,1
2018-07-01 01:06:44,user2,1
2018-07-01 13:24:07,user2,1
2018-07-01 13:29:42,user1,1
2018-07-01 17:01:50,user1,1
2018-07-01 17:39:59,user2,1
2018-07-01 17:40:19,user2,1
2018-07-01 17:48:07,user1,1
2018-07-01 17:48:23,user1,1
