Datum,Neerslag [mm]
21 jan. 2021,11.8
22 jan. 2021,0.9
23 jan. 2021,0.4
24 jan. 2021,0.1
25 jan. 2021,2.9
26 jan. 2021,0.9
27 jan. 2021,1.3
28 jan. 2021,10.2
29 jan. 2021,10
30 jan. 2021,0
31 jan. 2021,0
1 feb. 2021,0.2
2 feb. 2021,5
3 feb. 2021,15
4 feb. 2021,0.4
5 feb. 2021,1.9
6 feb. 2021,3.6
7 feb. 2021,4.3
8 feb. 2021,1
9 feb. 2021,0
10 feb. 2021,0
11 feb. 2021,0
12 feb. 2021,0
13 feb. 2021,0
14 feb. 2021,0
15 feb. 2021,4.7
