Datum,Neerslag [mm]
5 jun. 2020,13.8
6 jun. 2020,6.4
7 jun. 2020,3.1
8 jun. 2020,0.2
9 jun. 2020,0
10 jun. 2020,0.3
11 jun. 2020,0.2
12 jun. 2020,15.2
13 jun. 2020,5.1
14 jun. 2020,0
15 jun. 2020,0
16 jun. 2020,2.4
17 jun. 2020,46.3
18 jun. 2020,11.1
19 jun. 2020,0
20 jun. 2020,0
21 jun. 2020,0
22 jun. 2020,0
23 jun. 2020,0
24 jun. 2020,0
25 jun. 2020,0
26 jun. 2020,11.3
27 jun. 2020,1.9
28 jun. 2020,0.1
29 jun. 2020,0
30 jun. 2020,13.2
1 jul. 2020,1.8
2 jul. 2020,0.1
3 jul. 2020,0
4 jul. 2020,7.2
5 jul. 2020,0.1
6 jul. 2020,1.1
7 jul. 2020,0.2
8 jul. 2020,3.9
9 jul. 2020,6.1
10 jul. 2020,1.9
11 jul. 2020,2.9
12 jul. 2020,0
13 jul. 2020,0
14 jul. 2020,2.8
15 jul. 2020,0
16 jul. 2020,0.8
17 jul. 2020,0
18 jul. 2020,0
19 jul. 2020,0.5
20 jul. 2020,0
21 jul. 2020,0
22 jul. 2020,0
23 jul. 2020,0
24 jul. 2020,0
25 jul. 2020,4.8
26 jul. 2020,0.6
27 jul. 2020,0.1
28 jul. 2020,0.7
29 jul. 2020,0
30 jul. 2020,0
31 jul. 2020,0
1 aug. 2020,3.1
2 aug. 2020,0
3 aug. 2020,3
4 aug. 2020,0
5 aug. 2020,0
6 aug. 2020,0
7 aug. 2020,0
8 aug. 2020,0
9 aug. 2020,0
10 aug. 2020,0
11 aug. 2020,4.2
12 aug. 2020,4.9
13 aug. 2020,0
14 aug. 2020,0
15 aug. 2020,28.7
16 aug. 2020,12.3
17 aug. 2020,1.1
18 aug. 2020,0
19 aug. 2020,0.1
20 aug. 2020,0.8
21 aug. 2020,0
22 aug. 2020,5.2
23 aug. 2020,1.1
24 aug. 2020,1.2
25 aug. 2020,1.1
26 aug. 2020,4.6
27 aug. 2020,2.1
28 aug. 2020,11.3
29 aug. 2020,1.8
30 aug. 2020,1.2
31 aug. 2020,0
1 sep. 2020,0
2 sep. 2020,0
3 sep. 2020,9.4
4 sep. 2020,0.7
5 sep. 2020,3.9
6 sep. 2020,0
7 sep. 2020,0
8 sep. 2020,0
9 sep. 2020,0
10 sep. 2020,0
11 sep. 2020,0
12 sep. 2020,0
13 sep. 2020,0
14 sep. 2020,0
15 sep. 2020,0
16 sep. 2020,0
17 sep. 2020,0
18 sep. 2020,0
19 sep. 2020,0
20 sep. 2020,0
21 sep. 2020,0
22 sep. 2020,0
23 sep. 2020,8.6
24 sep. 2020,4.6
25 sep. 2020,4.1
26 sep. 2020,7.5
27 sep. 2020,3
28 sep. 2020,3.8
29 sep. 2020,1.5
30 sep. 2020,3.5
1 okt. 2020,9.7
2 okt. 2020,0.1
3 okt. 2020,8.3
4 okt. 2020,0.5
5 okt. 2020,4.5
6 okt. 2020,4.7
7 okt. 2020,8.2
8 okt. 2020,7.7
9 okt. 2020,3.9
10 okt. 2020,7.8
11 okt. 2020,2.6
12 okt. 2020,0
13 okt. 2020,0
14 okt. 2020,0
15 okt. 2020,0
16 okt. 2020,0
17 okt. 2020,0
18 okt. 2020,0.8
19 okt. 2020,0.1
20 okt. 2020,0.9
21 okt. 2020,9.4
22 okt. 2020,0.3
23 okt. 2020,0.1
24 okt. 2020,0
25 okt. 2020,2.2
26 okt. 2020,0
27 okt. 2020,1.9
28 okt. 2020,15.6
29 okt. 2020,6.9
30 okt. 2020,1.7
31 okt. 2020,2.5
1 nov. 2020,4.5
2 nov. 2020,2.1
3 nov. 2020,1.4
4 nov. 2020,0
5 nov. 2020,0
6 nov. 2020,0
7 nov. 2020,0
8 nov. 2020,0
9 nov. 2020,0
10 nov. 2020,0.1
11 nov. 2020,0
12 nov. 2020,4.1
13 nov. 2020,0.2
14 nov. 2020,0.4
15 nov. 2020,10.3
16 nov. 2020,0.9
17 nov. 2020,0.8
18 nov. 2020,0.1
19 nov. 2020,2.8
20 nov. 2020,0
21 nov. 2020,0.1
22 nov. 2020,1.9
23 nov. 2020,0
24 nov. 2020,0
25 nov. 2020,0
26 nov. 2020,4.5
27 nov. 2020,2.2
28 nov. 2020,0
29 nov. 2020,0
30 nov. 2020,9.3
1 dec. 2020,3.7
2 dec. 2020,0.3
3 dec. 2020,3
4 dec. 2020,0.6
5 dec. 2020,0
6 dec. 2020,0
7 dec. 2020,6
8 dec. 2020,0
9 dec. 2020,0
10 dec. 2020,0
11 dec. 2020,1.6
12 dec. 2020,2.1
13 dec. 2020,0.4
14 dec. 2020,2.9
15 dec. 2020,0.3
16 dec. 2020,0.1
17 dec. 2020,3.4
18 dec. 2020,0
19 dec. 2020,0.2
20 dec. 2020,0
21 dec. 2020,18.1
22 dec. 2020,4.7
23 dec. 2020,17.6
24 dec. 2020,3.1
25 dec. 2020,0
26 dec. 2020,1.1
27 dec. 2020,15.6
28 dec. 2020,1.9
29 dec. 2020,3.5
30 dec. 2020,1.4
31 dec. 2020,1.6
1 jan. 2021,0.1
2 jan. 2021,0.2
3 jan. 2021,0
4 jan. 2021,0.7
5 jan. 2021,0.1
6 jan. 2021,0.1
7 jan. 2021,4.9
8 jan. 2021,0.7
9 jan. 2021,0
10 jan. 2021,0
11 jan. 2021,0.9
12 jan. 2021,11.8
13 jan. 2021,0.3
14 jan. 2021,0
15 jan. 2021,0
16 jan. 2021,1.6
17 jan. 2021,1.1
18 jan. 2021,0.4
19 jan. 2021,14.2
20 jan. 2021,0.1
21 jan. 2021,12.2
